compound_number,feature_number,TIC,rel_abundance,mz,rt
262,4458_0,16927.520000,0.023826,984.439709,5.275085
262,4455_0,13605.910000,0.019151,983.951127,5.476151
262,703_1,5312.040000,0.007477,262.091533,5.526417
263,2572_0,6171893.170000,0.736340,635.089765,3.566024
263,2579_0,942578.170000,0.112455,636.090878,3.616290
263,244_1,549117.810000,0.065513,169.012020,2.761760
263,965_0,368631.510000,0.043980,317.037760,3.767090
263,1687_1,75366.210000,0.008992,465.068290,3.113625
263,1040_1,62198.540000,0.007421,331.067705,3.364958
263,2583_0,48715.320000,0.005812,637.101570,3.515757
263,591_1,47555.790000,0.005674,241.034640,3.415224
263,945_1,37242.250000,0.004443,314.053583,2.962826
263,967_0,28087.600000,0.003351,317.540711,3.566024
263,1783_0,18169.570000,0.002168,483.078735,3.264425
263,96_1,16506.020000,0.001969,130.088383,3.867623
263,2582_1,7355.950000,0.000878,637.082410,3.465491
263,1909_0,2781.950000,0.000332,505.098420,3.515757
263,936_1,2666.740000,0.000318,313.057260,3.968156
263,1790_0,1547.730000,0.000185,484.084638,3.314691
263,892_1,1432.580000,0.000171,304.080778,3.716823
264,3648_0,468304.430000,0.368455,864.421169,5.275085
264,3652_0,424661.140000,0.334117,864.919330,5.375618
264,3657_0,188687.640000,0.148456,865.422281,5.275085
264,3830_1,86213.920000,0.067832,887.427596,5.425884
264,3833_0,74988.060000,0.058999,887.920967,5.425884
264,3744_0,14718.460000,0.011580,875.404666,4.872953
264,3739_0,11921.350000,0.009380,874.901715,4.973486
264,4014_0,1501.500000,0.001181,912.905670,5.174552
265,2641_0,152955.000000,0.307719,647.835987,5.224818
265,2644_0,110084.000000,0.221470,648.334148,5.275085
265,2646_0,45416.600000,0.091370,648.837100,5.124285
265,5776_0,35437.800000,0.071295,1296.681429,5.124285
265,5780_0,26123.200000,0.052555,1297.677752,5.124285
265,2272_0,21035.000000,0.042319,581.815252,5.124285
265,5072_0,16687.700000,0.033573,1100.559179,5.124285
265,2651_0,14571.400000,0.029315,649.340051,5.124285
265,2277_1,14246.500000,0.028661,582.313413,4.973486
265,5159_0,12942.510000,0.026038,1119.570736,5.124285
265,5784_0,8424.050000,0.016948,1298.678864,5.124285
265,5077_0,7245.940000,0.014578,1101.569871,5.124285
265,872_3,6916.060000,0.013914,301.034330,5.023752
265,1773_3,6475.020000,0.013027,481.100460,5.124285
265,1031_1,6146.060000,0.012365,329.089430,5.275085
265,2279_0,5328.540000,0.010720,582.816365,5.124285
265,5377_0,2393.960000,0.004816,1163.557416,5.124285
265,2654_0,2322.690000,0.004673,649.838212,5.124285
265,5827_0,2308.690000,0.004645,1359.670087,5.124285
266,3919_1,66729.200000,0.384399,900.930640,5.677217
266,3922_1,63512.870000,0.365871,901.428801,5.677217
266,3927_1,28531.040000,0.164355,901.931752,5.727483
266,4081_0,7615.520000,0.043870,924.430439,5.727483
266,3931_0,7205.090000,0.041505,902.444284,5.727483
267,3272_0,1571901.410000,0.629625,806.466814,2.409894
267,3279_0,462717.400000,0.185341,807.472716,2.409894
267,3568_0,245734.580000,0.098429,852.474879,2.409894
267,3275_0,198351.350000,0.079450,806.964975,2.460161
267,3283_0,17864.660000,0.007156,808.483409,2.560694
268,2519_1,522977.400000,0.535470,627.056915,5.325351
268,2524_0,182166.960000,0.186519,627.559866,5.325351
268,2124_0,141494.600000,0.144875,551.556746,5.275085
268,5684_0,83932.990000,0.085938,1255.142445,5.325351
268,2526_1,29343.120000,0.030044,628.058028,5.325351
268,5689_0,16754.200000,0.017154,1256.148348,5.325351
269,4792_0,568879.200000,0.339919,1043.538876,4.772420
269,5036_1,499490.500000,0.298457,1089.551731,4.872953
269,4798_0,264562.320000,0.158082,1044.549569,4.822686
269,5041_0,223206.140000,0.133371,1090.557634,4.772420
269,4795_0,117435.900000,0.070171,1044.041828,4.772420
270,100_1,5197223.090000,0.745415,131.046385,6.682547
270,47_0,1123799.170000,0.161182,113.035940,6.682547
270,49_0,250909.800000,0.035987,114.022683,6.682547
270,1001_0,212670.190000,0.030502,323.097125,6.682547
270,4862_0,67707.550000,0.009711,1058.972295,6.531748
270,147_3,48942.300000,0.007020,146.043913,6.933880
270,331_1,28133.600000,0.004035,187.070365,6.732814
270,102_2,16844.150000,0.002416,132.028338,7.738144
270,2898_0,10178.600000,0.001460,720.155588,6.732814
270,118_0,4669.520000,0.000670,136.990790,6.632281
270,600_1,4135.650000,0.000593,242.078863,6.732814
270,11_1,4039.310000,0.000579,95.011125,6.481481
270,3966_1,1575.720000,0.000226,907.895317,6.632281
270,503_0,1429.690000,0.000205,221.012390,6.682547
271,5480_0,40886.000000,0.356157,1185.581891,4.621620
271,5474_0,29356.920000,0.255727,1185.069360,4.621620
271,5481_0,25902.550000,0.225637,1186.080053,4.621620
271,5483_0,10992.490000,0.095755,1186.568634,4.621620
271,5369_0,5502.310000,0.047931,1162.067723,4.621620
271,5375_0,2157.400000,0.018793,1163.078415,4.621620
272,2131_0,651856.900000,0.468517,553.132660,1.203498
272,2348_0,383224.800000,0.275440,595.165015,1.454831
272,1447_0,197846.500000,0.142201,415.103675,1.153232
272,2135_0,109020.370000,0.078358,554.138563,1.203498
272,2353_0,49371.350000,0.035485,596.146968,1.153232
273,4174_0,1217470.480000,0.462370,938.508284,3.465491
273,4460_0,620195.030000,0.235537,984.516349,3.415224
273,4181_0,527328.970000,0.200269,939.514186,3.465491
273,4176_0,135322.110000,0.051393,939.011235,3.465491
273,4469_0,132790.800000,0.050431,985.522251,3.415224
274,3780_0,1308652.750000,0.662792,881.157470,3.063359
274,3787_0,369549.420000,0.187165,882.158583,3.264425
274,1568_0,88991.720000,0.045072,440.074008,2.912559
274,886_1,56006.210000,0.028365,303.050925,2.862293
274,1201_0,52584.520000,0.026632,364.075678,2.962826
274,1783_0,39586.410000,0.020049,483.078735,3.264425
274,3793_1,38735.340000,0.019618,883.174065,3.314691
274,795_1,7052.770000,0.003572,285.059640,3.163892
274,491_1,6677.460000,0.003382,219.029325,3.113625
274,451_1,6619.000000,0.003352,210.024103,3.314691
275,5272_0,276087.900000,0.353813,1143.549536,5.375618
275,5268_0,231354.930000,0.296486,1143.041795,5.275085
275,5274_0,182757.540000,0.234208,1144.047698,5.275085
275,5280_0,57865.830000,0.074156,1144.550649,5.375618
275,5289_0,17574.080000,0.022522,1145.058390,5.425884
275,5163_0,7646.830000,0.009800,1120.040158,5.275085
275,5279_0,7035.090000,0.009016,1144.541069,5.174552
276,3667_0,109025.900000,0.403261,866.902395,4.169222
276,3675_0,97919.390000,0.362181,867.400556,4.320021
276,3680_0,38347.400000,0.141838,867.898717,4.370288
276,3683_0,8872.790000,0.032818,868.401669,4.370288
276,3455_0,4704.840000,0.017402,835.388906,4.320021
276,3450_0,4681.500000,0.017316,834.895535,4.320021
276,3521_0,4524.490000,0.016735,843.895967,4.320021
276,3405_0,2284.430000,0.008450,828.884070,4.320021
277,3014_0,59892.270000,0.444863,749.863242,4.269755
277,3109_0,23741.340000,0.176344,772.864880,4.269755
277,3113_0,19789.960000,0.146994,773.363041,4.269755
277,3017_0,16192.440000,0.120273,750.869145,4.269755
277,3726_0,10145.200000,0.075356,872.918650,4.269755
277,3114_0,4869.490000,0.036169,773.856412,4.269755
278,1356_0,312140.920000,0.482276,395.191595,1.404564
278,151_0,168171.340000,0.259835,147.045025,1.454831
278,108_0,68637.780000,0.106049,134.044933,1.555364
278,2697_0,66239.990000,0.102345,659.126045,1.404564
278,706_0,23397.550000,0.036151,263.054325,1.304031
278,1359_0,5570.700000,0.008607,396.192708,1.505097
278,203_0,3066.460000,0.004738,159.067955,1.404564
279,2336_0,8243922.930000,0.838679,593.090940,1.404564
279,2341_0,576060.640000,0.058604,594.096843,1.404564
279,244_0,506747.200000,0.051553,169.012020,1.505097
279,2190_0,366336.360000,0.037269,567.133865,1.253765
279,211_0,36270.300000,0.003690,161.046230,2.058029
279,607_0,35401.600000,0.003602,243.060815,1.655897
279,2372_0,30000.850000,0.003052,599.102405,1.404564
279,5_0,16778.860000,0.001707,89.023610,1.605630
279,871_0,14855.760000,0.001511,300.996010,1.253765
279,789_0,3275.170000,0.000333,283.081365,1.555364
280,2325_0,296878.430000,0.429686,591.141405,4.973486
280,2327_0,160088.330000,0.231703,591.639567,4.973486
280,5470_0,122519.640000,0.177328,1183.301846,4.923219
280,5472_0,53199.520000,0.076998,1184.307748,5.023752
280,2330_0,45961.050000,0.066522,592.137728,4.973486
280,5478_0,7412.630000,0.010729,1185.308861,4.923219
280,2334_0,4860.550000,0.007035,592.645469,4.923219
281,3460_0,55546.680000,0.379119,835.877487,7.637611
281,3465_0,48311.740000,0.329739,836.380438,7.738144
281,3609_1,12726.380000,0.086861,859.386866,7.637611
281,3471_0,12229.350000,0.083468,836.883390,7.637611
281,3602_0,12174.400000,0.083093,858.874335,7.687877
281,4009_0,5526.490000,0.037720,912.129688,7.587344
282,720_3,12781005.180000,0.924887,267.073145,7.386278
282,2142_0,126725.780000,0.009170,557.132320,7.386278
282,515_1,122829.370000,0.008888,223.043355,7.084679
282,926_5,107725.000000,0.007795,311.169995,7.486811
282,509_1,101619.180000,0.007354,222.042243,7.386278
282,46_5,72442.820000,0.005242,113.026360,7.336012
282,722_0,66124.970000,0.004785,268.074258,7.386278
282,5361_0,57955.200000,0.004194,1160.549289,7.386278
282,5367_0,33936.300000,0.002456,1161.559981,7.386278
282,416_1,29076.800000,0.002104,202.072683,7.336012
282,638_1,27109.950000,0.001962,249.062700,7.336012
282,1009_5,25988.600000,0.001881,325.185570,7.537078
282,2417_0,24073.720000,0.001742,607.087355,7.436545
282,114_0,20823.820000,0.001507,136.008838,7.888943
282,856_3,18898.730000,0.001368,297.149630,7.436545
282,438_3,17244.190000,0.001248,207.049505,7.336012
282,2801_0,15932.320000,0.001153,684.599329,6.380948
282,391_4,14473.190000,0.001047,199.007075,7.436545
282,5976_0,13380.180000,0.000968,1469.711032,7.637611
282,1096_5,12864.500000,0.000931,339.201146,7.537078
282,4512_0,11903.930000,0.000861,993.440141,7.285745
282,1809_0,10939.020000,0.000792,487.164615,7.436545
282,1734_3,10320.380000,0.000747,473.283161,7.386278
282,295_4,9222.070000,0.000667,180.033838,7.486811
282,2421_0,8672.840000,0.000628,607.585516,7.436545
282,5239_0,7995.780000,0.000579,1134.520364,7.336012
282,1472_1,6889.930000,0.000499,421.062450,7.386278
282,716_5,6546.230000,0.000474,265.147560,7.486811
282,1155_0,4979.890000,0.000360,352.047958,7.386278
282,321_3,4955.740000,0.000359,185.025030,7.336012
282,4799_1,4703.750000,0.000340,1044.961510,7.386278
282,5770_0,4629.150000,0.000335,1294.650464,7.486811
282,5244_1,4561.990000,0.000330,1135.008945,7.436545
282,273_3,4256.560000,0.000308,175.023485,6.582014
282,1865_1,4159.470000,0.000301,498.751654,7.386278
282,91_3,3499.610000,0.000253,129.020210,6.682547
282,2143_1,3318.140000,0.000240,558.138223,7.336012
282,2216_2,3216.960000,0.000233,573.102220,7.336012
282,0_4,3182.450000,0.000230,85.028740,8.291075
282,2424_1,2769.630000,0.000200,608.107628,7.084679
282,727_1,2695.480000,0.000195,269.080160,7.336012
282,577_1,2340.400000,0.000169,237.058930,7.537078
282,5877_0,1525.980000,0.000110,1411.651297,7.436545
282,1099_2,1473.680000,0.000107,340.202258,7.336012
283,345_2,204682.730000,0.393975,191.017335,6.330682
283,2373_0,107468.480000,0.206856,599.135935,5.526417
283,41_2,70871.610000,0.136414,111.009765,5.828017
283,2376_0,58253.520000,0.112127,599.638887,5.124285
283,405_1,28838.700000,0.055509,201.038040,5.425884
283,449_2,23206.070000,0.044667,209.066100,5.425884
283,2379_0,17436.060000,0.033561,600.141838,5.425884
283,112_0,8775.760000,0.016892,135.026885,5.375618
284,5510_1,67679.740000,0.312132,1193.600372,6.933880
284,2226_0,43996.150000,0.202906,574.299723,6.933880
284,2361_0,43361.160000,0.199977,597.301361,6.933880
284,5516_1,33277.400000,0.153472,1194.611064,6.933880
284,2228_0,22190.320000,0.102339,574.797884,6.933880
284,2232_0,6325.690000,0.029173,575.300836,6.933880
285,2671_1,493508.900000,0.429888,654.154013,7.386278
285,2674_1,300160.240000,0.261465,654.656964,7.386278
285,720_3,264247.800000,0.230182,267.073145,7.386278
285,2677_1,79409.410000,0.069172,655.155125,7.386278
285,2680_0,10666.500000,0.009291,655.658077,7.336012
286,4308_0,176436.500000,0.387524,958.449104,3.566024
286,4306_0,173710.900000,0.381538,957.946152,3.666557
286,90_0,66071.200000,0.145119,128.957940,3.566024
286,4100_0,32678.940000,0.071776,925.939292,3.566024
286,4041_0,6393.690000,0.014043,916.934070,3.566024
287,221_0,3167821.290000,0.725933,163.038875,2.912559
287,1008_1,658563.690000,0.150915,325.089770,2.962826
287,228_0,170482.300000,0.039067,164.835130,2.812026
287,66_0,79855.820000,0.018300,119.047405,2.259095
287,226_1,45531.970000,0.010434,164.044778,2.812026
287,287_1,33204.490000,0.007609,177.054450,2.812026
287,2531_1,28548.500000,0.006542,629.111830,2.862293
287,1538_0,17507.830000,0.004012,434.100863,2.862293
287,321_0,16196.930000,0.003712,185.025030,2.862293
287,1999_0,15828.720000,0.003627,523.128025,2.812026
287,1293_0,13901.140000,0.003186,383.048915,2.812026
287,1513_0,13294.600000,0.003047,429.143200,2.661227
287,3082_0,12754.980000,0.002923,765.445151,2.761760
287,1194_0,12507.750000,0.002866,361.067550,2.761760
287,2757_0,12215.720000,0.002799,673.175150,2.912559
287,1425_0,11579.410000,0.002654,410.069373,3.013092
287,2818_0,10642.450000,0.002439,689.145050,2.912559
287,1851_0,7376.850000,0.001690,496.117148,2.912559
287,1880_0,5707.500000,0.001308,502.262733,3.063359
287,2765_0,5654.500000,0.001296,675.359396,2.761760
287,2810_0,5593.920000,0.001282,687.161985,2.409894
287,872_1,5327.530000,0.001221,301.034330,2.862293
287,1133_0,4715.640000,0.001081,347.071135,2.912559
287,462_0,4548.120000,0.001042,213.151980,2.912559
287,167_0,3162.760000,0.000725,151.059055,2.359628
287,1012_2,1269.280000,0.000291,326.095673,3.264425
288,4016_0,505599.880000,0.422612,913.111640,3.214158
288,1271_0,419323.420000,0.350496,380.045578,2.912559
288,4022_0,144571.690000,0.120842,914.112753,3.314691
288,1275_0,86546.080000,0.072341,380.548529,2.761760
288,890_0,30887.610000,0.025818,304.037668,2.711493
288,1382_0,9441.510000,0.007892,401.088100,3.013092
289,5237_0,97686.770000,0.208513,1134.017413,7.285745
289,5346_0,89202.310000,0.190403,1157.522001,7.285745
289,5239_0,86387.690000,0.184395,1134.520364,7.336012
289,5347_1,52237.940000,0.111502,1158.020163,7.285745
289,5245_1,46393.840000,0.099028,1135.018525,7.336012
289,5343_1,44631.860000,0.095267,1157.009470,7.185212
