feature_id,cluster_rt,cluster_mz
19374_0,9.500279,1731.408546
19381_0,9.500279,1732.419239
11_3,8.800266,109.0267
39_1,8.750265,123.047065
43_4,9.000269,125.02534
76_1,7.550241,135.046045
83_5,8.750265,137.02432
114_3,8.800266,149.0233
121_2,9.650282,151.039895
160_2,8.800266,161.0606
162_1,8.800266,162.028183
175_2,8.800266,164.011248
178_4,8.800266,165.01715
228_3,8.600262,175.037855
251_3,8.650263,179.032725
310_1,8.750265,187.036835
316_1,8.750265,188.047528
394_3,8.600262,201.0572
400_1,8.800266,202.063103
408_3,8.700264,203.083375
412_1,8.800266,203.255816
416_2,8.850267,204.084488
420_3,8.650263,205.05207
426_1,8.800266,205.234091
428_2,9.000269,206.043603
504_1,8.800266,217.08937
515_3,8.850267,219.067645
527_2,8.700264,221.07945
533_2,8.800266,222.075773
565_1,8.800266,227.071755
709_1,8.700264,245.0822
715_1,8.800266,245.283381
720_2,8.700264,246.097683
725_2,8.650263,247.060475
726_0,8.800266,247.079635
1085_2,8.600262,289.06888
1092_1,8.900268,289.246111
1093_1,8.800266,289.294011
1095_1,8.800266,289.514351
1099_1,8.700264,290.074783
1103_1,8.800266,290.295123
1107_1,8.700264,291.075895
5353_1,8.550261,632.062478
5371_1,9.05027,633.06838
9815_0,8.800266,906.113433
2961_0,14.650382,462.749924
2985_0,14.750384,463.755827
3852_1,14.850386,527.180375
3863_0,14.800385,528.181488
4584_0,14.750384,581.18297
10179_1,14.650382,926.514094
10181_0,14.750384,926.825445
10182_0,14.650382,926.906875
10194_0,14.750384,927.294866
10199_0,14.650382,927.515206
10201_0,14.650382,927.912777
10213_1,14.700383,928.516319
10216_0,14.750384,928.91389
10234_0,14.750384,929.531801
10248_0,14.700383,930.523334
12766_0,14.500379,1088.569779
12782_0,14.55038,1089.570891
13284_0,14.650382,1124.552349
13306_0,14.750384,1126.540204
13412_0,14.650382,1134.568264
13424_0,14.750384,1135.559796
13507_0,14.750384,1141.508991
13516_0,14.700383,1142.519684
13527_0,14.650382,1143.487266
13631_0,14.650382,1151.558436
