number pathway,Major_Group,Group,Source,Compound_Name,,cluster.index,column,Cluster_MZ,Cluster_RT,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,UNPD116556,388,C18,545.14292,11.8,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,UNPD116556,822,C18,545.14292,13.6,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,UNPD15761,2164,C18,739.186306,6.5,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,UNPD15761,2984,C18,739.186306,7.7,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_dimer_derived,UNPD15761,6999,C18,739.186305,8.6,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD122988,3817,C18,1169.219211,10.8,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD195695,4478,C18,1017.208181,8.6,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD195695,778,C18,1017.208181,11.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD195695,1461,C18,1017.208181,11.4,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD28886,7468,C18,1027.248046,5.9,,
34,flavan3ol_polymer,catechin_polymer_derived,In_Silico,catechin_trimer_derived,UNPD28886,5035,C18,1027.248046,6.9,,
35,flavan3ol_polymer,afzelichin_polymer_derived,In_Silico,afzelichin_dimer_derived,IN_1085_DiAfzBCCH,3289,C18,999.269586,17.9,,
35,flavan3ol_polymer,afzelichin_polymer_derived,In_Silico,afzelichin_dimer_derived,IN_1085_DiAfzBCCH,3673,C18,999.269586,20.3,,
36,flavan3ol_polymer,gallocatechin_polymer_simple,In_Silico,gallocatechin_dimer,UNPD156244,878,C18,609.12311,3.8,,
36,flavan3ol_polymer,gallocatechin_polymer_simple,In_Silico,gallocatechin_dimer,UNPD156244,924,C18,609.12311,4.9,,
36,flavan3ol_polymer,gallocatechin_polymer_simple,In_Silico,gallocatechin_dimer,UNPD156244,3473,C18,609.12311,3.5,,
36,flavan3ol_polymer,gallocatechin_polymer_simple,In_Silico,gallocatechin_dimer,UNPD156244,5225,C18,609.12311,1.9,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_1205_DiGcatBDOHGDOH,2698,C18,1053.248231,8.2,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_1205_DiGcatBDOHGDOH,4876,C18,1053.248231,8.2,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_250_DiCatBDOHG,4830,C18,1053.248231,7,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_250_DiCatBDOHG,5282,C18,1053.248231,9.2,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_250_DiCatBDOHG,7399,C18,1053.248231,6,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_291_DiGcatBG,884,C18,761.13414,7,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_291_DiGcatBG,1006,C18,761.13414,8.2,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_291_DiGcatBG,1253,C18,761.13414,5.7,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_291_DiGcatBG,2743,C18,761.13414,9.9,,
37,flavan3ol_polymer,gallocatechin_polymer_derived,In_Silico,gallocatechin_dimer_derived,IN_291_DiGcatBG,4580,C18,761.13414,9.9,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,afz_cat_cat_trimer,UNPD109543,1618,C18,849.203301,10.3,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,cat_gal_gal_trimer,UNPD114535,4225,C18,897.18964,5.1,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,gal_cat_cat_trimer,UNPD176373,5949,C18,881.191,8.9,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,gal_cat_cat_trimer,UNPD176373,4338,C18,881.191,7,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,gal_cat_cat_trimer,UNPD176373,4388,C18,881.191001,8,,
38,flavan3ol_polymer,mixed_flavan3ol_polymer_simple,In_Silico,gal_gal_cat_trimer,UNPD150852,6355,C18,897.18964,6.7,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,afz_gal_mixed_dimer_derived,IN_444_AfzGcatBG,147,C18,729.14644,9.8,,
39,flavan3ol_polymer,mixed_flavan3ol_polymer_derived,In_Silico,afz_gal_mixed_dimer_derived,IN_464_AfzGcatBGG,69,C18,881.15268,11.8,,
