"id","species_code","itteration","Raos_Q","D_q","MD_q","FD_q","ncomps","updated"
"635","T18_9","1","0.928609","19.8514","18.4342","365.944","218","2020-11-16 18:54:20"
"636","T19_3","1","0.916216","17.848","16.3526","291.86","178","2020-11-16 18:54:20"
"637","T19_6","1","0.881713","15.1551","13.3624","202.508","120","2020-11-16 18:54:20"
"638","T19_5","1","0.917336","20.366","18.6824","380.486","173","2020-11-16 18:54:20"
"639","T20_3","1","0.771138","13.2701","10.2331","135.795","187","2020-11-16 18:54:21"
"640","T20_1","1","0.784812","14.5388","11.4102","165.891","207","2020-11-16 18:54:21"
"641","T19_9","1","0.929458","24.1055","22.4051","540.086","213","2020-11-16 18:54:21"
"642","T20_4","1","0.76993","15.7188","12.1024","190.235","217","2020-11-16 18:54:22"
"643","T20_2","1","0.780451","15.8049","12.3349","194.953","208","2020-11-16 18:54:22"
"644","T21a_3","1","0.878239","21.3941","18.7891","401.977","345","2020-11-16 18:54:22"
"645","T21a_2","1","0.833502","15.2751","12.7318","194.479","188","2020-11-16 18:54:22"
"646","T20_5","1","0.761508","13.4048","10.2079","136.834","145","2020-11-16 18:54:22"
"647","T21a_1","1","0.891822","12.4296","11.085","137.781","293","2020-11-16 18:54:22"
"648","T21a_4","1","0.681187","33.8749","23.0751","781.666","453","2020-11-16 18:54:23"
"649","T22_2","1","0.931416","23.9588","22.3156","534.654","171","2020-11-16 18:54:23"
"650","T22_1","1","0.922695","26.0394","24.0264","625.634","184","2020-11-16 18:54:23"
"651","T23_3","1","0.765521","9.45459","7.23769","68.4294","179","2020-11-16 18:54:24"
"652","T22_4","1","0.931141","20.202","18.8109","380.018","166","2020-11-16 18:54:24"
"653","T23_1","1","0.860644","19.6935","16.9491","333.786","265","2020-11-16 18:54:24"
"654","T22_3","1","0.93067","25.3405","23.5836","597.62","179","2020-11-16 18:54:24"
"655","T22_5","1","0.907859","17.7225","16.0895","285.146","176","2020-11-16 18:54:24"
"656","T21a_5","1","0.878026","16.4769","14.4672","238.375","196","2020-11-16 18:54:24"
"657","T23_8","1","0.91564","29.8905","27.369","818.073","151","2020-11-16 18:54:24"
"658","T23_5","1","0.881304","28.2874","24.9298","705.197","171","2020-11-16 18:54:25"
"659","T25_1","1","0.873262","19.1357","16.7105","319.766","234","2020-11-16 18:54:25"
"660","T23_4","1","0.911032","28.915","26.3425","761.694","138","2020-11-16 18:54:25"
"661","T25_3","1","0.906781","19.0169","17.2442","327.932","187","2020-11-16 18:54:25"
"662","T25_2","1","0.852057","23.8243","20.2997","483.626","205","2020-11-16 18:54:25"
"663","T25_4","1","0.883122","19.8608","17.5395","348.349","220","2020-11-16 18:54:26"
"664","T25_5","1","0.893029","24.91","22.2453","554.131","213","2020-11-16 18:54:26"
"665","T29_14","1","0.883001","9.81386","8.66565","85.0435","158","2020-11-16 18:54:26"
"666","T29_13","1","0.931247","19.8305","18.4671","366.212","187","2020-11-16 18:54:26"
"667","T29_1","1","0.931887","19.2618","17.9498","345.745","226","2020-11-16 18:54:26"
"668","T29_10","1","0.923841","16.1792","14.947","241.831","178","2020-11-16 18:54:26"
"669","T29_8","1","0.929807","19.5972","18.2216","357.094","229","2020-11-16 18:54:27"
"670","T33_1","1","0.858766","18.8522","16.1897","305.211","246","2020-11-16 18:54:27"
"671","T33_4","1","0.863416","20.3832","17.5992","358.727","246","2020-11-16 18:54:27"
"672","T33_5","1","0.843963","22.1945","18.7313","415.732","250","2020-11-16 18:54:27"
"673","T33_8","1","0.83435","21.8875","18.2619","399.708","232","2020-11-16 18:54:28"
"674","T49_2","1","0.912873","13.9254","12.7121","177.022","119","2020-11-16 18:54:28"
"675","T35_17","1","0.815388","24.5171","19.991","490.122","316","2020-11-16 18:54:28"
"676","T35_7","1","0.864123","17.5702","15.1828","266.764","233","2020-11-16 18:54:29"
"677","T49_1","1","0.947133","23.8638","22.6022","539.375","124","2020-11-16 18:54:29"
"678","T35_3","1","0.859454","16.3138","14.021","228.736","213","2020-11-16 18:54:29"
"679","T35_12","1","0.857908","16.8366","14.4443","243.193","228","2020-11-16 18:54:29"
"680","T50_3","1","0.823275","23.8236","19.6134","467.261","257","2020-11-16 18:54:29"
"681","T50_4","1","0.605413","16.5521","10.0209","165.867","190","2020-11-16 18:54:29"
"682","T33_2","1","0.871645","19.1434","16.6863","319.433","252","2020-11-16 18:54:30"
"683","T35_8","1","0.852921","16.4037","13.9911","229.505","251","2020-11-16 18:54:30"
"684","T51_1","1","0.870681","25.6872","22.3653","574.503","124","2020-11-16 18:54:30"
"685","T51_3","1","0.88723","13.0848","11.6093","151.906","145","2020-11-16 18:54:30"
"686","T50_8","1","0.582798","16.502","9.61731","158.704","170","2020-11-16 18:54:30"
"687","T51_2","1","0.863922","21.0814","18.2127","383.95","111","2020-11-16 18:54:30"
"688","T50_6","1","0.761088","19.5472","14.8772","290.807","227","2020-11-16 18:54:30"
"689","T50_7","1","0.824812","20.1205","16.5956","333.913","183","2020-11-16 18:54:30"
"690","T51_4","1","0.870684","26.3003","22.8992","602.256","138","2020-11-16 18:54:30"
"691","T51_5","1","0.89055","22.5182","20.0536","451.571","128","2020-11-16 18:54:31"
"692","T55_2","1","0.864755","12.0131","10.3884","124.797","148","2020-11-16 18:54:31"
"693","T55_1","1","0.849751","9.58293","8.1431","78.0348","143","2020-11-16 18:54:31"
"694","T55_3","1","0.847516","8.70757","7.3798","64.2601","114","2020-11-16 18:54:31"
"695","T55_5","1","0.839545","9.24006","7.75744","71.6793","130","2020-11-16 18:54:31"
"696","T55_4","1","0.859681","9.74458","8.37723","81.6326","117","2020-11-16 18:54:32"
"697","T56_11","1","0.811484","20.7586","16.8453","349.686","159","2020-11-16 18:54:32"
"698","T56_1","1","0.693025","21.5743","14.9515","322.569","165","2020-11-16 18:54:32"
"699","T56_3","1","0.749006","20.6901","15.4971","320.636","190","2020-11-16 18:54:32"
"700","T56_6","1","0.739554","22.8654","16.9102","386.658","151","2020-11-16 18:54:33"
"701","T57_3","1","0.832169","58.6039","48.7683","2858.01","586","2020-11-16 18:54:33"
"702","T56_4","1","0.806203","19.0537","15.3611","292.686","170","2020-11-16 18:54:33"
"703","T57_4","1","0.826503","50.3199","41.5895","2092.78","503","2020-11-16 18:54:33"
"704","T57_2","1","0.807214","59.4084","47.9553","2848.94","632","2020-11-16 18:54:33"
